BJD-2400000    RV       err
    55015.9818   -43.66     0.04
    55018.9475   -43.70     0.04
    55167.6551   -43.63     0.04
    55192.5460   -43.61     0.04
    55227.5752   -43.58     0.04
    55369.9719   -43.45     0.04
    55464.8355   -43.56     0.04
    55487.8220   -43.52     0.04
    55497.7536   -43.49     0.04
    55524.6594   -43.41     0.04
    55549.5875   -43.48     0.04
    55559.5498   -43.49     0.04
    55576.5647   -43.46     0.04
    55584.5670   -43.44     0.04
    55701.9902   -43.45     0.04
    55704.9850   -43.43     0.04
    55705.9743   -43.44     0.04
    55706.9758   -43.43     0.04
    55723.9694   -43.43     0.04
    55729.9780   -43.44     0.04
    55852.5764   -43.48     0.04
    55874.6944   -43.40     0.04
    55912.6558   -43.33     0.05
    55931.5591   -43.42     0.04
    55931.5612   -43.41     0.04
    55957.5581   -43.40     0.04
    55957.5630   -43.41     0.04
    56234.7135   -43.34     0.04
    56239.7542   -43.40     0.05
    56288.5554   -43.35     0.04
    56309.5743   -43.34     0.04
    56654.5518   -43.25     0.04
    56675.5568   -43.25     0.04
    57025.5523   -43.21     0.04
    57237.9339   -43.17     0.04
    57350.7053   -43.11     0.04
    57407.5517   -43.11     0.04
    58033.8634   -43.07     0.04
    58061.8106   -43.06     0.04
    58145.5915   -43.03     0.04
