# https://iopscience.iop.org/article/10.1086/509715/pdf - Torres 2007
# https://iopscience.iop.org/article/10.1086/379281/pdf - Hatzes et al. (2003)

# Index definitions:
# 0 - McDonald I (Hatzes+03)
# 1 - Various zero-point-corrected instruments (Torres+07)
# 2 - CFHT (Walker+92)
# 3 - McDonald II (Hatzes+03)
# 4 - McDonald III (Hatzes+03)
# 5 - Various zero-point-corrected instruments (Griffin+02)


Epoch[JD]    RV[m/s]      RV_err[m/s] InstrumentID

2447368.96570	550.00          19.00	0
2447369.93000	570.80  	19.00	0
2447369.93460	572.00  	19.00	0
2447405.93380	500.80  	19.00	0
2447430.71100	530.60  	19.00	0
2447430.71410	520.50  	19.00	0
2447459.75690	495.20  	19.00	0
2447460.75590	488.80  	19.00	0
2447495.75390	416.40  	19.00	0
2447495.75970	416.30  	19.00	0
2447496.70460	437.90  	19.00	0
2447516.66650	440.00  	19.00	0
2447517.65870	416.10  	19.00	0
2447551.60570	397.00  	19.00	0
2447551.61010	391.90  	19.00	0
2447582.57400	359.10  	19.00	0
2447696.96850	274.90  	19.00	0
2447762.94030	220.30  	19.00	0
2447785.92860	152.90  	19.00	0
2447785.93190	157.60  	19.00	0
2447786.81760	171.10  	19.00	0
2447786.82100	166.30  	19.00	0
2447813.74990	133.50  	19.00	0
2447848.68030	102.90  	19.00	0
2447879.65910	70.00	        19.00	0
2447880.71120	67.70   	19.00	0
2447895.62350	72.00   	19.00	0
2448145.89810	-112.50 	19.00	0
2448145.90390	-112.20 	19.00	0
2448146.82170	-89.40  	19.00	0
2448176.84570	-143.40 	19.00	0
2448176.85130	-153.70 	19.00	0
2448198.86610	-182.70 	19.00	0
2448227.71280	-178.00 	19.00	0
2448523.81920	-277.60 	19.00	0
2448523.82410	-278.00 	19.00	0
2448854.90660	-390.10 	19.00	0
2448903.85170	-426.30 	19.00	0
2449260.79010	-327.90  	19.00	0
2449260.79460	-325.20	    19.00	0
2449649.73680	-235.80	    19.00	0
2449649.73900	-243.40	    19.00	0
2449649.74110	-234.70	    19.00	0
2416039.74000	-42230.00	750.00	1
2416208.65000	-42430.00	750.00	1
2416241.61000	-42930.00	750.00	1
2417131.88000	-41570.00	560.00	1
2417146.88000	-43170.00	560.00	1
2417152.83000	-43970.00	560.00	1
2417178.25000	-42640.00	750.00	1
2417180.22000	-42990.00	750.00	1
2417467.48000	-43940.00	750.00	1
2417494.39000	-42250.00	750.00	1
2417853.41000	-43370.00	750.00	1
2423021.62000	-47580.00	1880.00	1
2435109.00000	-42300.00	1130.00	1
2441496.97000	-41340.00	1130.00	1
2441497.97000	-42180.00	1130.00	1
2441642.60000	-43780.00	1130.00	1
2441642.60000	-43700.00	1130.00	1
2441642.61000	-44130.00	1130.00	1
2441643.59000	-45120.00	1130.00	1
2441643.62000	-44360.00	1130.00	1
2441644.72000	-44160.00	1130.00	1
2442203.97000	-43190.00	1130.00	1
2442205.00000	-43800.00	1130.00	1
2442334.78000	-42240.00	1130.00	1
2442335.84000	-43180.00	1130.00	1
2442336.76000	-42580.00	1130.00	1
2443396.00000	-42590.00	470.00	1
2452099.97000	-45080.00	230.00	1
2453275.78000	-44720.00	230.00	1
2453337.67000	-44600.00	230.00	1
2458934.7414    -42050.00       140.00  1
2459100.9786    -42220.00       140.00  1
2459539.3645    -42010.00       140.00  1
2444754.12900	1808.90 	15.60	2
2444771.11200	1849.30 	23.90	2
2444957.88500	1689.40 	12.20	2
2445148.07800	1572.00 	17.80	2
2445166.04800	1555.30 	8.40	2
2445212.95900	1530.80 	13.10	2
2445276.88400	1499.80 	8.90	2
2445711.70300	1280.40 	13.70	2
2445712.78600	1258.40 	11.00	2
2445811.13000	1211.10 	9.70	2
2445865.13600	1166.40 	12.60	2
2445902.04200	1103.70 	9.10	2
2446047.77100	1006.00 	9.70	2
2446047.78300	992.50  	10.80	2
2446217.14400	856.40  	14.70	2
2446284.00400	801.70  	22.40	2
2446288.01000	801.70  	15.50	2
2446393.80400	719.00  	15.10	2
2446394.85800	740.90  	12.70	2
2446605.10000	550.20  	9.30	2
2446725.83000	449.60  	6.00	2
2446726.85700	453.80  	8.70	2
2446784.82100	399.00  	7.20	2
2446785.84400	390.20  	10.00	2
2446834.75800	341.90  	10.60	2
2446865.70000	343.90  	8.60	2
2446961.13000	208.40  	8.10	2
2446962.11000	188.20  	7.60	2
2447020.07400	113.60  	8.10	2
2447021.06400	118.10  	8.30	2
2447101.94100	46.20   	7.20	2
2447101.94900	49.90   	6.40	2
2447102.94600	53.80   	6.30	2
2447102.95500	59.40   	6.90	2
2447160.82300	-1.50   	13.00	2
2447307.11000	-144.10 	8.20	2
2447307.11800	-120.40 	8.50	2
2447308.10900	-124.50 	12.20	2
2447339.04000	-148.30 	8.50	2
2447339.05400	-178.30 	9.90	2
2447340.02600	-165.30 	8.00	2
2447370.98800	-195.00 	10.60	2
2447371.99700	-199.20 	10.30	2
2447372.00000	-207.20 	10.90	2
2447454.83600	-253.30 	7.90	2
2447519.83300	-291.50 	11.50	2
2447545.69100	-311.80 	13.40	2
2447636.13200	-388.60 	14.30	2
2447636.13700	-400.60 	12.40	2
2447637.09000	-387.90 	13.80	2
2447699.11400	-470.80 	13.00	2
2447700.11300	-495.50 	18.30	2
2447700.12400	-489.90 	13.70	2
2447788.03300	-585.10 	8.10	2
2447788.92700	-583.80 	7.70	2
2447788.93200	-582.10 	7.10	2
2447894.82000	-676.10 	17.00	2
2448112.98800	-858.20 	7.60	2
2448112.93300	-864.10 	7.20	2
2448113.99700	-873.10 	5.80	2
2448290.77600	-948.80 	18.20	2
2448406.10400	-957.00 	17.50	2
2448406.11100	-966.00 	17.90	2
2448407.10700	-982.20 	10.40	2
2448471.02100	-1025.70	8.60	2
2448471.97600	-972.50	        12.10	2
2448577.85200	-1062.60	6.70	2
2448578.81000	-1044.60	7.40	2
2448578.81900	-1048.60	9.00	2
2448177.86960	35.39   	33.09	3
2448177.87730	29.94   	23.82	3
2448200.83110	27.72   	13.42	3
2448224.70080	53.95   	11.53	3
2448259.60200	42.85   	13.09	3
2448484.83930	-37.21  	14.00	3
2448524.83040	-93.10  	17.55	3
2448555.79390	-105.15 	12.07	3
2448555.80380	-116.01 	9.08	3
2448607.76380	-138.18 	13.85	3
2448644.64650	-137.70 	16.41	3
2448824.95470	-204.50 	20.26	3
2448824.96090	-192.72 	24.48	3
2448852.97330	-209.83 	20.32	3
2448853.91490	-212.64 	18.76	3
2448882.82730	-205.27 	12.96	3
2448901.79120	-225.14 	10.72	3
2448902.77640	-235.24 	18.78	3
